"BLG",4279,"Благоевград","BG41",1483,1
"BGS",7079,"Бургас","BG34",1483,2
"VAR",10135,"Варна","BG33",1483,3
"VTR",10447,"Велико Търново","BG32",1483,4
"VID",10971,"Видин","BG31",1483,5
"VRC",12259,"Враца","BG31",1483,6
"GAB",14218,"Габрово","BG32",1483,7
"DOB",72624,"Добрич","BG33",1483,8
"KRZ",40909,"Кърджали","BG42",1483,9
"KNL",41112,"Кюстендил","BG41",1483,10
"LOV",43952,"Ловеч","BG31",1483,11
"MON",48489,"Монтана","BG31",1483,12
"PAZ",55155,"Пазарджик","BG42",1483,13
"PER",55871,"Перник","BG41",1483,14
"PVN",56722,"Плевен","BG31",1483,15
"PDV",56784,"Пловдив","BG42",1483,16
"RAZ",61710,"Разград","BG32",1483,17
"RSE",63427,"Русе","BG32",1483,18
"SLS",66425,"Силистра","BG32",1483,19
"SLV",67338,"Сливен","BG34",1483,20
"SML",67653,"Смолян","BG42",1483,21
"SFO",68134,"София","BG41",1483,22
"SOF",68134,"София (столица)","BG41",1483,23
"SZR",68850,"Стара Загора","BG34",1483,24
"TGV",73626,"Търговище","BG33",1483,25
"HKV",77195,"Хасково","BG42",1483,26
"SHU",83510,"Шумен","BG33",1483,27
"JAM",87374,"Ямбол","BG34",1483,28
