14,"с.","Абланица","BLG","BLG52","BLG52-01",3,5,6,1483,1,1
28,"с.","Абланица","LOV","LOV18","LOV18-00",3,7,5,1483,10,2
881,"с.","Абланица","PAZ","PAZ08","PAZ08-01",3,7,8,1483,12,3
31,"с.","Абрит","DOB","DOB20","DOB20-01",3,7,3,1483,24,4
59,"с.","Аврамово","BLG","BLG53","BLG53-01",3,5,7,1483,1,5
62,"с.","Аврамово","KRZ","KRZ02","KRZ02-00",3,8,6,1483,8,6
84,"с.","Аврен","VAR","VAR01","VAR01-00",3,5,4,1483,3,7
93,"с.","Аврен","KRZ","KRZ15","KRZ15-01",3,5,6,1483,8,8
103,"с.","Агатово","GAB","GAB29","GAB29-01",3,7,5,1483,7,9
117,"с.","Азманите","GAB","GAB35","GAB35-00",3,8,6,1483,7,10
895,"с.","Айдемир","SLS","SLS31","SLS31-01",3,4,1,1483,18,11
148,"с.","Айрово","KRZ","KRZ16","KRZ16-23",3,6,4,1483,8,12
151,"гр.","Айтос","BGS","BGS01","BGS01-00",1,2,2,1483,2,13
165,"с.","Аканджиево","PAZ","PAZ04","PAZ04-07",3,6,4,1483,12,14
179,"с.","Акациево","VID","VID09","VID09-00",3,8,5,1483,5,15
182,"гр.","Аксаково","VAR","VAR02","VAR02-00",1,3,3,1483,3,16
196,"с.","Аламовци","SML","SML11","SML11-01",3,6,7,1483,20,17
206,"с.","Албанци","KRZ","KRZ08","KRZ08-00",3,8,5,1483,8,18
215,"с.","Алваново","TGV","TGV35","TGV35-01",3,7,3,1483,25,19
223,"с.","Алдомировци","SFO","SFO45","SFO45-01",3,5,6,1483,22,20
254,"с.","Алеко Константиново","PAZ","PAZ19","PAZ19-01",3,5,4,1483,12,21
237,"с.","Алеково","VTR","VTR28","VTR28-01",3,7,2,1483,4,22
240,"с.","Алеково","SLS","SLS01","SLS01-01",3,6,4,1483,18,23
268,"с.","Александрия","DOB","DOB20","DOB20-00",3,7,3,1483,24,24
271,"с.","Александрово","BGS","BGS17","BGS17-00",3,8,2,1483,2,25
285,"с.","Александрово","VTR","VTR28","VTR28-02",3,7,2,1483,4,26
299,"с.","Александрово","LOV","LOV18","LOV18-02",3,5,3,1483,10,27
309,"с.","Александрово","SZR","SZR24","SZR24-01",3,5,5,1483,23,28
312,"с.","Александрово","TGV","TGV35","TGV35-02",3,7,5,1483,25,29
326,"с.","Александрово","HKV","HKV34","HKV34-01",3,7,4,1483,26,30
330,"с.","Александрово","SHU","SHU25","SHU25-00",3,8,4,1483,27,31
343,"с.","Александрово","JAM","JAM22","JAM22-01",3,7,3,1483,28,32
360,"с.","Александър Стамболийски","DOB","DOB12","DOB12-00",3,8,2,1483,24,33
83421,"с.","Алендарова","PAZ","PAZ08","PAZ08-14",3,7,8,1483,12,34
388,"с.","Алиговска","SML","SML31","SML31-01",3,8,8,1483,20,35
391,"с.","Алино","SFO","SFO39","SFO39-01",3,8,7,1483,22,36
401,"с.","Алтимир","VRC","VRC08","VRC08-01",3,6,2,1483,6,37
415,"гр.","Алфатар","SLS","SLS01","SLS01-00",1,5,3,1483,18,38
429,"с.","Алцек","DOB","DOB15","DOB15-02",3,7,4,1483,24,39
446,"с.","Ангел войвода","HKV","HKV19","HKV19-01",3,6,5,1483,26,40
432,"с.","Ангеларий","DOB","DOB27","DOB27-01",3,7,4,1483,24,41
456,"с.","Ангелов","GAB","GAB05","GAB05-09",3,8,6,1483,7,42
480,"с.","Анево","PDV","PDV43","PDV43-01",3,5,5,1483,15,43
494,"с.","Антимово","SLS","SLS34","SLS34-00",3,8,3,1483,18,44
919,"с.","Антимово","VID","VID09","VID09-02",3,6,1,1483,5,45
504,"с.","Антон","SFO","SFO54","SFO54-00",3,5,7,1483,22,46
518,"гр.","Антоново","TGV","TGV02","TGV02-00",1,5,5,1483,25,47
521,"с.","Аплаци","VTR","VTR13","VTR13-00",3,8,6,1483,4,48
549,"с.","Априлово","SFO","SFO10","SFO10-01",3,5,6,1483,22,49
552,"с.","Априлово","SZR","SZR07","SZR07-01",3,7,3,1483,23,50
566,"с.","Априлово","TGV","TGV24","TGV24-01",3,6,4,1483,25,51
571,"с.","Априлци","PAZ","PAZ19","PAZ19-02",3,7,4,1483,12,52
905,"с.","Априлци","KRZ","KRZ14","KRZ14-46",3,7,5,1483,8,53
52218,"гр.","Априлци","LOV","LOV02","LOV02-00",1,4,6,1483,10,54
583,"с.","Арбанаси","VTR","VTR04","VTR04-01",3,5,5,1483,4,55
597,"с.","Арда","SML","SML31","SML31-01",3,6,8,1483,20,56
607,"гр.","Ардино","KRZ","KRZ02","KRZ02-00",1,4,6,1483,8,57
610,"с.","Арзан","PER","PER08","PER08-00",3,8,7,1483,13,58
624,"с.","Арковна","VAR","VAR16","VAR16-00",3,8,2,1483,3,59
638,"с.","Армените","GAB","GAB05","GAB05-00",3,7,5,1483,7,60
641,"с.","Армянковци","GAB","GAB35","GAB35-00",3,8,6,1483,7,61
655,"с.","Арнаутито","SZR","SZR31","SZR31-01",3,7,4,1483,23,62
669,"с.","Арпаджик","SML","SML16","SML16-00",3,8,7,1483,20,63
672,"с.","Арчар","VID","VID16","VID16-01",3,5,2,1483,5,64
697,"с.","Асен","SZR","SZR24","SZR24-02",3,7,5,1483,23,65
702,"гр.","Асеновград","PDV","PDV01","PDV01-00",1,2,4,1483,15,66
713,"с.","Асеновец","SLV","SLV16","SLV16-01",3,6,3,1483,19,67
730,"с.","Асеново","VTR","VTR31","VTR31-01",3,6,3,1483,4,68
744,"с.","Асеново","PVN","PVN21","PVN21-16",3,7,2,1483,14,69
758,"с.","Асеново","JAM","JAM25","JAM25-00",3,7,3,1483,28,70
761,"с.","Асеновци","PVN","PVN16","PVN16-01",3,5,2,1483,14,71
775,"с.","Аспарухово","BGS","BGS09","BGS09-01",3,7,2,1483,2,72
789,"с.","Аспарухово","VAR","VAR16","VAR16-02",3,6,2,1483,3,73
792,"с.","Аспарухово","MON","MON26","MON26-01",3,7,3,1483,11,74
802,"с.","Аспарухово","PVN","PVN16","PVN16-02",3,7,2,1483,14,75
63015,"с.","Атия","BGS","BGS21","BGS21-13",3,6,2,1483,2,76
816,"с.","Атолово","JAM","JAM22","JAM22-02",3,7,3,1483,28,77
828,"с.","Ауста","KRZ","KRZ21","KRZ21-30",3,7,5,1483,8,78
833,"с.","Ахелой","BGS","BGS17","BGS17-02",3,5,1,1483,2,79
847,"с.","Ахматово","PDV","PDV28","PDV28-12",3,7,3,1483,15,80
